# t  |c1| |c2| |c3| |c4|  phase1  |c1|(30-70AU) |c1|(70-120) |c1|(120-180)
0.0008 5.384354e-10 4.221939e-05 5.484573e-09 4.615055e-07 0.7940 7.633999e-10 5.834153e-10 7.733967e-10
0.0500 4.788540e-07 1.652700e-03 3.790579e-06 3.991984e-05 1.6561 1.113821e-06 3.520950e-07 2.077817e-07
0.1000 2.421023e-06 2.166903e-03 8.924204e-06 2.009367e-04 2.3910 3.121705e-05 3.896697e-05 8.079233e-07
0.1500 5.849950e-06 2.105360e-03 7.016395e-06 2.246032e-04 3.1001 1.799995e-05 5.009483e-05 1.278135e-06
0.2000 2.577994e-05 1.504872e-03 1.189174e-05 2.451151e-04 -1.8268 1.772821e-05 1.250259e-04 1.009926e-04
0.2500 5.383626e-05 2.465749e-03 2.357193e-05 4.230258e-04 -1.4289 1.405711e-04 1.030230e-04 1.670442e-04
0.3000 8.404925e-05 1.998092e-03 8.773518e-05 7.281486e-05 -3.1203 1.461125e-04 7.425360e-05 1.238459e-04
0.3500 5.350322e-04 1.487108e-03 1.506738e-05 4.377839e-04 1.9987 3.423697e-04 6.713688e-04 5.200354e-04
0.4000 7.447661e-04 1.505552e-03 7.545359e-04 1.944147e-04 1.0627 9.962743e-04 8.218375e-04 7.806015e-04
0.4500 9.208959e-04 1.562976e-03 2.882168e-04 3.104170e-04 1.5931 1.104736e-03 9.011103e-04 5.977679e-04
0.5000 2.049012e-03 1.036147e-03 2.519482e-04 1.105379e-04 -2.9489 3.245031e-03 2.632456e-03 1.918608e-03
0.5500 4.157899e-03 1.097916e-03 1.681029e-04 4.375644e-04 -2.5117 6.475419e-03 5.684148e-03 4.054959e-03
0.6000 6.148095e-03 1.047913e-03 3.064577e-04 5.581005e-04 -2.1953 1.142872e-02 8.509297e-03 5.178883e-03
0.6500 9.266259e-03 8.728803e-04 1.576814e-04 5.247767e-04 -1.7784 1.738032e-02 1.072876e-02 8.803786e-03
0.7000 1.071611e-02 7.962784e-04 1.846902e-04 8.879721e-04 -1.5231 2.204918e-02 1.226169e-02 1.148959e-02
0.7500 1.247792e-02 1.308615e-03 4.744194e-04 9.140781e-04 -1.3218 2.649226e-02 1.338666e-02 1.467251e-02
0.8000 1.477305e-02 2.706789e-03 9.595011e-04 1.000155e-03 -1.1771 2.850783e-02 1.639610e-02 1.859870e-02
0.8500 1.622524e-02 2.647207e-03 8.664411e-04 6.231939e-04 -1.1689 2.721438e-02 1.911345e-02 2.373621e-02
0.9000 1.676822e-02 2.554485e-03 3.564244e-04 4.788198e-04 -1.1602 2.718758e-02 2.113411e-02 2.821184e-02
0.9500 1.734726e-02 2.331641e-03 5.092261e-04 7.356578e-04 -1.1528 2.685294e-02 2.323571e-02 3.199255e-02
1.0000 1.787633e-02 2.099949e-03 1.325310e-04 6.032370e-04 -1.1621 2.507209e-02 2.689335e-02 3.540576e-02
1.0500 1.826400e-02 1.420623e-03 2.725071e-04 9.644383e-04 -1.1660 2.206929e-02 2.859621e-02 4.011525e-02
1.1000 1.861211e-02 1.321042e-03 4.287871e-04 8.786039e-04 -1.1978 1.790797e-02 3.276943e-02 4.269791e-02
1.1500 1.910132e-02 1.504096e-03 5.420752e-04 4.270452e-04 -1.2286 1.430694e-02 3.312536e-02 4.621410e-02
1.2000 2.021357e-02 1.809403e-03 6.088844e-04 1.377317e-04 -1.2760 1.112773e-02 3.321916e-02 4.834479e-02
1.2500 2.087563e-02 2.516711e-03 6.095983e-04 1.238555e-03 -1.2684 1.305704e-02 3.234235e-02 4.848585e-02
1.3000 2.133317e-02 1.117379e-03 7.137740e-04 3.758557e-04 -1.1648 1.870295e-02 3.198297e-02 4.926236e-02
1.3500 2.825451e-02 1.976678e-03 3.301246e-04 1.589319e-04 -1.1698 2.841864e-02 3.283932e-02 5.336991e-02
1.4000 3.345979e-02 1.547645e-03 2.445113e-04 6.455877e-04 -1.1357 3.725589e-02 3.701442e-02 5.631594e-02
1.4500 3.885733e-02 8.031198e-04 2.068593e-04 1.867035e-04 -1.0602 4.864423e-02 4.360553e-02 5.838245e-02
1.5000 4.348197e-02 1.233537e-03 3.522321e-04 3.749629e-04 -0.9810 6.091957e-02 5.078456e-02 6.030483e-02
1.5500 4.720829e-02 9.845285e-04 1.667278e-04 6.860146e-04 -0.9071 6.776738e-02 5.938272e-02 6.055081e-02
1.6000 5.038953e-02 2.267510e-04 6.186046e-04 5.887274e-04 -0.8119 7.226033e-02 6.994929e-02 6.272512e-02
1.6500 5.176696e-02 8.302221e-04 6.349660e-04 2.712450e-04 -0.7331 7.451276e-02 7.909474e-02 6.359085e-02
1.7000 5.275200e-02 1.515928e-03 1.213486e-04 4.370937e-04 -0.6589 7.540238e-02 8.993423e-02 6.410343e-02
1.7500 5.331063e-02 2.369752e-03 1.460952e-03 4.423850e-04 -0.5985 7.556083e-02 1.014706e-01 6.332108e-02
1.8000 5.719782e-02 1.643021e-03 3.656859e-04 9.869857e-04 -0.5410 7.530144e-02 1.145439e-01 6.333882e-02
1.8500 5.763282e-02 2.647391e-03 2.462913e-04 8.656051e-04 -0.4868 7.443990e-02 1.253998e-01 6.370162e-02
1.9000 5.998644e-02 2.442401e-03 5.518799e-04 1.144597e-03 -0.4139 7.707406e-02 1.347635e-01 6.723642e-02
1.9500 6.224049e-02 2.012152e-03 1.531907e-04 9.456302e-04 -0.3385 8.088930e-02 1.431213e-01 6.940458e-02
2.0000 6.404507e-02 2.525127e-03 6.393684e-04 1.172691e-03 -0.2725 8.309344e-02 1.495634e-01 7.497881e-02
2.0500 6.645871e-02 2.541383e-03 5.158467e-04 4.349151e-04 -0.2043 8.431441e-02 1.547588e-01 8.181401e-02
2.1000 6.715029e-02 2.891508e-03 2.085975e-04 4.005847e-04 -0.1422 8.426353e-02 1.577946e-01 8.972949e-02
2.1500 6.854467e-02 3.502670e-03 7.552028e-04 4.233713e-04 -0.0766 8.606041e-02 1.613965e-01 9.911816e-02
2.2000 6.996651e-02 3.279347e-03 5.023927e-04 7.134965e-04 0.0010 8.899431e-02 1.657528e-01 1.089979e-01
2.2500 7.058458e-02 2.486220e-03 5.514993e-04 1.196901e-03 0.0887 9.173108e-02 1.692328e-01 1.198909e-01
2.3000 7.085769e-02 2.411934e-03 3.561233e-04 1.286471e-03 0.1797 9.605210e-02 1.724697e-01 1.300665e-01
2.3500 6.980571e-02 1.923852e-03 1.871416e-03 6.122263e-04 0.2268 9.542557e-02 1.734841e-01 1.421997e-01
2.4000 6.816682e-02 2.254769e-03 1.606524e-03 1.234117e-03 0.3066 9.294811e-02 1.732403e-01 1.513406e-01
2.4500 6.600300e-02 2.571032e-03 2.312985e-03 1.409618e-03 0.3231 8.560052e-02 1.709479e-01 1.616747e-01
2.5000 7.068372e-02 4.771019e-03 1.581519e-03 3.081070e-03 0.3305 7.935353e-02 1.699502e-01 1.739646e-01
2.5500 7.413339e-02 5.250238e-03 1.383944e-03 9.800428e-04 0.3049 7.595486e-02 1.659443e-01 1.851864e-01
2.6000 7.635395e-02 1.909731e-03 7.521911e-04 5.450649e-04 0.3194 8.246968e-02 1.621006e-01 1.956117e-01
2.6500 8.095478e-02 2.205784e-03 3.517835e-04 1.306239e-03 0.3342 9.382802e-02 1.577645e-01 2.056782e-01
2.7000 8.471669e-02 2.145836e-03 6.966877e-04 4.280249e-04 0.3510 1.036766e-01 1.520895e-01 2.170340e-01
2.7500 8.784309e-02 2.957269e-03 4.035940e-04 6.500271e-04 0.3733 1.115452e-01 1.494527e-01 2.259952e-01
2.8000 9.042282e-02 2.490624e-03 1.135072e-03 2.999555e-03 0.3984 1.163504e-01 1.471152e-01 2.326693e-01
2.8500 8.651478e-02 4.803024e-03 1.773823e-03 1.379216e-03 0.4757 1.238775e-01 1.450558e-01 2.363064e-01
2.9000 8.528560e-02 2.508598e-03 6.347840e-04 6.720939e-04 0.5525 1.295050e-01 1.500403e-01 2.396098e-01
2.9500 8.424953e-02 3.311498e-03 5.969621e-04 4.779728e-04 0.6095 1.284962e-01 1.555515e-01 2.401722e-01
3.0000 8.309108e-02 3.175707e-03 5.359335e-04 7.160395e-04 0.6441 1.203796e-01 1.620776e-01 2.426449e-01
3.0500 8.280790e-02 3.315938e-03 9.448350e-04 8.882944e-04 0.6639 1.131883e-01 1.689431e-01 2.445205e-01
3.1000 8.395492e-02 3.178298e-03 8.076358e-04 3.850132e-04 0.6772 1.093143e-01 1.744446e-01 2.463115e-01
3.1500 8.776022e-02 2.506146e-03 1.950499e-03 1.443418e-03 0.6835 1.050088e-01 1.795054e-01 2.498122e-01
3.2000 9.265390e-02 4.274275e-03 3.262192e-03 1.949334e-03 0.6908 1.027585e-01 1.867122e-01 2.498513e-01
3.2500 9.814763e-02 5.082412e-03 8.831310e-04 8.671408e-04 0.7093 1.036335e-01 1.900061e-01 2.545294e-01
3.3000 1.024670e-01 4.267106e-03 8.517146e-04 7.005675e-04 0.7320 1.088659e-01 1.907798e-01 2.590622e-01
3.3500 1.035880e-01 5.699451e-03 7.832453e-04 4.482072e-04 0.7491 1.158690e-01 1.900869e-01 2.614274e-01
3.4000 1.076702e-01 6.047951e-03 7.632592e-04 4.421353e-04 0.7521 1.218887e-01 1.927172e-01 2.667101e-01
3.4500 1.124675e-01 4.774364e-03 1.431296e-03 7.870075e-04 0.7667 1.272806e-01 1.979485e-01 2.736165e-01
3.5000 1.198117e-01 5.072600e-03 8.974436e-04 3.689712e-04 0.7751 1.365822e-01 2.066205e-01 2.830671e-01
3.5500 1.274957e-01 6.482187e-03 1.077523e-03 9.670360e-04 0.8125 1.527171e-01 2.146147e-01 2.937417e-01
3.6000 1.340578e-01 8.277022e-03 5.969918e-04 1.149773e-03 0.8618 1.692658e-01 2.266242e-01 3.015528e-01
3.6500 1.403695e-01 9.112973e-03 2.628234e-03 2.299328e-03 0.9266 1.857796e-01 2.408958e-01 3.075422e-01
3.7000 1.429532e-01 9.809584e-03 2.439651e-03 1.679510e-03 0.9840 1.978838e-01 2.549359e-01 3.113640e-01
3.7500 1.470859e-01 1.131699e-02 2.782253e-03 1.478253e-03 1.0667 2.079026e-01 2.713716e-01 3.180334e-01
3.8000 1.478869e-01 1.006362e-02 6.766125e-04 4.635558e-04 1.1241 2.115053e-01 2.863118e-01 3.258983e-01
3.8500 1.477377e-01 1.032988e-02 1.055196e-03 1.058285e-03 1.1584 2.119375e-01 2.995539e-01 3.362487e-01
3.9000 1.520912e-01 9.629394e-03 1.205820e-03 1.020120e-03 1.2096 2.115146e-01 3.131641e-01 3.477440e-01
3.9500 1.530209e-01 9.322052e-03 2.020941e-03 8.813922e-04 1.2450 2.097301e-01 3.218565e-01 3.604592e-01
4.0000 1.589018e-01 1.251352e-02 6.633394e-03 2.099831e-03 1.2664 2.067082e-01 3.284599e-01 3.718908e-01
