# t  |c1| |c2| |c3| |c4|  phase1  |c1|(30-70AU) |c1|(70-120) |c1|(120-180)
0.0008 5.338842e-06 3.623354e-08 6.156773e-09 1.073606e-07 -1.4240 1.858322e-03 3.294982e-04 3.480808e-03
0.0500 3.281849e-04 1.382467e-04 7.397884e-06 7.089317e-05 -0.6977 5.432359e-04 4.408900e-04 2.985063e-03
0.1000 5.078459e-04 1.134637e-04 2.157924e-05 2.995599e-04 -0.1481 5.284188e-04 2.780701e-04 1.624457e-03
0.1500 5.868902e-04 1.924680e-04 7.260416e-05 3.668006e-04 0.3445 1.086952e-03 2.188219e-04 1.392366e-03
0.2000 7.025360e-04 3.788143e-04 3.246362e-05 2.005045e-04 0.7290 1.610073e-03 1.131471e-03 1.031843e-03
0.2500 6.058258e-04 5.286359e-04 6.845270e-05 6.290930e-05 1.2676 1.226045e-03 1.049989e-03 6.345538e-04
0.3000 5.948365e-04 4.156140e-04 3.813931e-05 2.569108e-04 0.9029 1.287396e-03 1.322775e-03 8.963820e-04
0.3500 1.131836e-03 3.400259e-04 1.493342e-04 2.728834e-04 1.9108 1.917842e-03 2.222858e-03 1.227808e-03
0.4000 1.153497e-03 5.285249e-04 3.351956e-04 3.373797e-04 2.3083 1.894070e-03 2.873085e-03 1.190406e-03
0.4500 8.882974e-04 1.016425e-03 5.247435e-04 7.769473e-04 -3.0438 2.916440e-03 3.743893e-03 1.510097e-03
0.5000 3.508955e-03 8.140764e-04 3.657606e-04 4.203874e-04 -2.9289 5.827214e-03 7.541516e-03 3.131943e-03
0.5500 4.882793e-03 9.345860e-04 8.727163e-05 2.372826e-04 -2.7168 8.070818e-03 9.589457e-03 4.871693e-03
0.6000 5.295723e-03 5.687998e-04 3.456097e-04 1.375940e-04 -2.1230 1.043562e-02 1.032861e-02 4.253452e-03
0.6500 6.025567e-03 2.437251e-04 3.093620e-04 1.455182e-04 -1.6377 1.476916e-02 1.081072e-02 4.389065e-03
0.7000 7.615710e-03 9.995889e-04 3.725350e-04 4.325830e-04 -1.6387 1.759446e-02 1.271599e-02 5.832487e-03
0.7500 9.196862e-03 1.122765e-03 1.024646e-03 1.069638e-03 -1.2002 1.876180e-02 1.385017e-02 7.817945e-03
0.8000 6.766178e-03 9.492752e-04 2.013447e-04 1.091843e-03 -1.4160 1.496909e-02 1.446215e-02 1.102200e-02
0.8500 1.070572e-02 5.962278e-04 3.917429e-04 9.474758e-04 -1.5896 1.442306e-02 1.770159e-02 1.766382e-02
0.9000 1.589908e-02 2.060616e-03 1.599361e-04 1.461066e-03 -1.5716 1.896281e-02 2.207164e-02 2.542631e-02
0.9500 2.051103e-02 2.178261e-03 5.642772e-04 1.265031e-03 -1.5152 3.104211e-02 2.649399e-02 3.225433e-02
1.0000 2.436653e-02 1.175784e-03 2.993570e-04 4.930055e-04 -1.4918 3.897867e-02 2.912051e-02 4.032372e-02
1.0500 2.696153e-02 1.297062e-03 7.729816e-04 6.788121e-04 -1.4219 4.051495e-02 3.186733e-02 4.701017e-02
1.1000 2.866916e-02 1.721850e-03 3.842217e-04 5.638811e-04 -1.3339 3.955327e-02 3.487566e-02 5.151911e-02
1.1500 3.049812e-02 1.759990e-03 7.720448e-05 8.787650e-04 -1.2335 4.080331e-02 3.694395e-02 5.732628e-02
