# t  |c1| |c2| |c3| |c4|  phase1  |c1|(30-70AU) |c1|(70-120) |c1|(120-180)
0.0008 1.068205e-05 7.948183e-08 8.853914e-09 1.097419e-07 -1.4207 1.903604e-03 2.092142e-04 2.448813e-03
0.0500 6.585730e-04 1.370521e-04 1.172946e-05 6.903588e-05 -0.6958 1.232918e-03 6.219784e-04 1.944727e-03
0.1000 1.029161e-03 1.180379e-04 2.984285e-05 3.161416e-04 -0.1311 1.002675e-03 9.203256e-04 2.574106e-03
0.1500 1.240284e-03 2.014207e-04 6.533820e-05 3.314410e-04 0.3517 2.189859e-03 9.664214e-04 2.366557e-03
0.2000 1.397237e-03 4.669480e-04 6.227228e-05 2.254317e-04 0.7440 2.891665e-03 1.808219e-03 2.415866e-03
0.2500 1.295017e-03 5.061811e-04 1.778533e-04 1.271802e-04 0.9036 2.597687e-03 2.049454e-03 2.134072e-03
0.3000 1.544861e-03 5.443590e-04 5.823136e-05 2.273842e-04 1.3644 2.722313e-03 3.136856e-03 3.137268e-03
0.3500 2.026909e-03 3.491946e-04 1.689853e-04 4.072043e-04 1.8710 3.421927e-03 4.510030e-03 2.889743e-03
0.4000 3.566403e-03 2.163354e-04 2.944091e-04 2.751815e-04 2.2112 4.340739e-03 7.552286e-03 4.941515e-03
0.4500 4.339532e-03 4.362002e-04 4.402271e-04 2.919748e-04 2.3624 5.353607e-03 9.998051e-03 5.920465e-03
0.5000 5.140001e-03 6.405143e-04 4.605330e-04 4.093502e-04 2.3821 6.021474e-03 1.354396e-02 7.499722e-03
0.5500 5.470109e-03 4.349152e-04 3.838583e-04 2.848528e-04 2.5766 5.213144e-03 1.436550e-02 8.521866e-03
0.6000 4.920517e-03 4.409497e-04 3.441983e-04 5.971695e-04 2.5394 6.102617e-03 1.520281e-02 8.174451e-03
0.6500 3.293439e-03 2.318309e-04 3.069415e-04 3.381020e-04 2.5857 6.174589e-03 1.248574e-02 7.535454e-03
0.7000 1.181687e-03 4.570039e-04 2.528343e-04 2.335308e-04 2.5486 7.178468e-03 9.891551e-03 7.869586e-03
0.7500 1.961593e-03 1.137345e-03 5.398270e-04 6.322127e-04 1.9483 7.908827e-03 9.785031e-03 9.358825e-03
0.8000 1.789736e-03 1.081189e-03 6.714169e-04 1.411778e-03 2.5125 6.808201e-03 1.060517e-02 1.146254e-02
0.8500 3.665482e-03 2.266847e-03 5.825488e-04 8.919249e-04 -2.1562 7.480471e-03 1.202988e-02 9.194223e-03
0.9000 8.146558e-03 1.717696e-03 5.353171e-04 8.677167e-04 -1.6622 1.966495e-02 1.456295e-02 8.249026e-03
0.9500 1.241234e-02 4.870632e-04 1.293804e-03 1.273604e-03 -1.3681 3.043217e-02 1.776470e-02 1.117061e-02
1.0000 1.254344e-02 1.437959e-03 2.685061e-04 6.083381e-04 -1.2881 3.183661e-02 1.897411e-02 1.584052e-02
1.0500 1.228567e-02 1.331548e-03 1.344901e-04 7.697784e-04 -1.2637 2.677501e-02 2.104252e-02 2.000190e-02
1.1000 1.121198e-02 1.072771e-03 4.297957e-04 3.579268e-04 -1.2340 1.868357e-02 2.280866e-02 2.264416e-02
1.1500 1.017856e-02 7.743982e-04 2.827335e-04 6.609175e-04 -1.2071 1.205714e-02 2.241005e-02 2.472128e-02
1.2000 9.498598e-03 1.101810e-03 5.676188e-04 7.049672e-04 -1.1772 1.009195e-02 2.325016e-02 2.647325e-02
1.2500 8.680946e-03 1.586888e-03 5.665268e-04 4.134220e-04 -1.0727 1.108592e-02 2.641183e-02 2.636896e-02
1.3000 8.702482e-03 1.856451e-03 5.199033e-04 4.296897e-04 -1.0270 1.263940e-02 2.867522e-02 2.779757e-02
1.3500 8.800810e-03 1.517551e-03 4.595774e-04 1.087981e-04 -0.9736 1.314442e-02 3.126312e-02 2.860231e-02
1.4000 8.455451e-03 1.904844e-03 1.233133e-03 7.158550e-04 -0.9066 1.170756e-02 3.303052e-02 2.743052e-02
1.4500 8.786462e-03 1.934822e-03 3.311884e-04 2.049181e-04 -0.8072 9.210917e-03 3.368134e-02 2.794418e-02
1.5000 7.992487e-03 1.473222e-03 4.939328e-04 6.392086e-04 -0.5516 9.843491e-03 3.296089e-02 2.656406e-02
1.5500 6.311542e-03 1.184897e-03 4.235586e-04 2.786457e-04 -0.3072 1.245057e-02 2.998827e-02 2.514505e-02
1.6000 4.677425e-03 8.475388e-04 3.051589e-04 4.413188e-04 0.0010 1.466986e-02 2.728081e-02 2.449156e-02
1.6500 4.005667e-03 4.411262e-04 3.365521e-04 3.844052e-04 0.5189 1.647330e-02 2.612176e-02 2.396921e-02
1.7000 3.352754e-03 1.256947e-04 1.918736e-04 5.127685e-04 1.0737 1.567413e-02 2.656167e-02 2.396341e-02
1.7500 2.649887e-03 1.314132e-04 4.882964e-04 3.974653e-04 1.3660 1.324622e-02 2.949025e-02 2.308324e-02
1.8000 2.213399e-03 3.821015e-04 8.371432e-04 1.495355e-03 1.5639 9.691667e-03 3.240729e-02 2.210486e-02
1.8500 2.394745e-03 6.112305e-04 8.508270e-04 3.587994e-04 1.5201 6.313713e-03 3.475538e-02 2.130974e-02
1.9000 2.992893e-03 1.070626e-03 3.483936e-04 8.428585e-04 1.3874 5.922644e-03 3.596738e-02 2.038690e-02
1.9500 4.027330e-03 1.265445e-03 3.820585e-04 1.074328e-03 1.1169 6.851786e-03 3.501340e-02 2.154458e-02
2.0000 4.572814e-03 1.127865e-03 6.417987e-04 6.852916e-04 1.1004 7.193624e-03 3.267964e-02 2.132417e-02
2.0500 4.335457e-03 7.642226e-04 8.849909e-04 8.286995e-04 1.0960 8.344291e-03 2.895705e-02 2.440270e-02
2.1000 5.798976e-03 5.160448e-04 7.010185e-04 1.099973e-03 1.1458 1.336001e-02 2.684455e-02 2.523129e-02
2.1500 5.805454e-03 9.124326e-04 1.232822e-03 1.068681e-03 1.1400 1.752412e-02 2.335675e-02 2.800994e-02
2.2000 1.059523e-02 7.319939e-04 3.264284e-04 1.666749e-03 1.5959 2.673619e-02 2.482945e-02 3.188443e-02
2.2500 1.823193e-02 1.437471e-03 2.946271e-04 1.524304e-03 1.8062 3.769727e-02 3.148795e-02 3.674775e-02
2.3000 2.145630e-02 7.259347e-04 2.516028e-04 8.107026e-04 1.8864 4.585122e-02 3.703448e-02 4.082922e-02
2.3500 2.529667e-02 6.550772e-04 2.378621e-04 1.083621e-03 2.0354 5.231584e-02 4.520419e-02 4.754732e-02
2.4000 2.829909e-02 9.589386e-04 2.939091e-04 9.274801e-04 2.1445 5.348314e-02 5.370954e-02 5.225159e-02
2.4500 3.012519e-02 1.162400e-03 3.049607e-04 1.123751e-03 2.2618 5.272551e-02 6.036407e-02 5.632909e-02
2.5000 3.135456e-02 1.041700e-03 4.136964e-04 1.358365e-03 2.3470 5.201626e-02 6.841935e-02 6.085162e-02
2.5500 3.059760e-02 1.396723e-03 2.746693e-03 1.942455e-03 2.4710 5.044416e-02 7.517082e-02 6.667626e-02
2.6000 3.431826e-02 3.662577e-03 1.445110e-03 1.232481e-04 2.4094 4.612415e-02 8.527058e-02 7.615579e-02
2.6500 3.786151e-02 2.930672e-03 1.512827e-03 2.613608e-03 2.4812 4.613396e-02 9.717509e-02 8.474225e-02
2.7000 4.366902e-02 2.054851e-03 2.061890e-03 1.609688e-03 2.5471 5.378485e-02 1.086001e-01 9.391797e-02
2.7500 5.233614e-02 3.346383e-03 1.120223e-03 1.266798e-03 2.6236 6.414485e-02 1.206353e-01 1.044080e-01
2.8000 5.840987e-02 2.654070e-04 4.156998e-04 1.179600e-03 2.7054 7.269964e-02 1.294402e-01 1.162161e-01
2.8500 6.302736e-02 2.200703e-03 6.147558e-05 8.845202e-04 2.8018 8.224654e-02 1.381691e-01 1.291321e-01
2.9000 6.920812e-02 1.950501e-03 1.700768e-04 5.488356e-04 2.8923 9.208260e-02 1.483576e-01 1.417558e-01
2.9500 7.365774e-02 2.945880e-03 4.457118e-04 4.083121e-04 2.9728 9.766468e-02 1.586262e-01 1.560360e-01
3.0000 7.767994e-02 3.312024e-03 1.070729e-03 9.768444e-04 3.0477 1.013054e-01 1.703571e-01 1.691949e-01
3.0500 8.159989e-02 4.343692e-03 1.347387e-03 3.996993e-03 3.1194 1.042412e-01 1.829292e-01 1.830431e-01
3.1000 8.431511e-02 3.801761e-03 2.254496e-03 1.041861e-03 -3.1078 1.050297e-01 1.931508e-01 1.947366e-01
3.1500 8.849916e-02 3.484179e-03 2.531224e-03 1.068149e-03 -3.0032 1.085292e-01 2.064513e-01 2.058982e-01
3.2000 8.895089e-02 8.445847e-03 1.731259e-03 2.823794e-03 -2.9642 1.138753e-01 2.168655e-01 2.172554e-01
3.2500 1.004348e-01 4.377841e-03 1.282172e-03 6.068605e-04 -2.7894 1.341341e-01 2.321041e-01 2.291075e-01
3.3000 1.087012e-01 6.919375e-03 1.423295e-04 1.259590e-03 -2.6414 1.535920e-01 2.495187e-01 2.381161e-01
3.3500 1.166504e-01 7.501247e-03 1.101084e-04 7.094994e-04 -2.5150 1.692030e-01 2.674459e-01 2.462435e-01
3.4000 1.245968e-01 9.115389e-03 1.215583e-03 5.874415e-04 -2.3963 1.802409e-01 2.858032e-01 2.584687e-01
3.4500 1.288340e-01 9.176586e-03 1.627463e-03 9.915957e-04 -2.2859 1.872512e-01 3.043514e-01 2.691398e-01
3.5000 1.331945e-01 1.024775e-02 1.752514e-03 6.201645e-04 -2.1813 1.901284e-01 3.212891e-01 2.833583e-01
3.5500 1.355273e-01 1.106553e-02 1.374201e-03 5.324089e-04 -2.0879 1.892577e-01 3.370935e-01 2.956719e-01
3.6000 1.369780e-01 1.189534e-02 3.734262e-04 8.375562e-04 -2.0068 1.858133e-01 3.495782e-01 3.107594e-01
3.6500 1.391312e-01 1.276125e-02 8.556777e-04 2.714423e-03 -1.9287 1.809307e-01 3.598916e-01 3.214282e-01
3.7000 1.390320e-01 1.329623e-02 2.182998e-03 4.442211e-03 -1.8665 1.737016e-01 3.662728e-01 3.314432e-01
