# t  |c1| |c2| |c3| |c4|  phase1  |c1|(30-70AU) |c1|(70-120) |c1|(120-180)
0.0008 4.275234e-05 8.917515e-07 3.107614e-09 9.224486e-08 -1.4192 6.073980e-03 1.542059e-03 7.904002e-03
0.0500 2.639021e-03 1.239861e-04 3.660435e-05 4.891293e-05 -0.6951 4.415680e-03 1.693898e-03 8.522314e-03
0.1000 4.117878e-03 1.617036e-04 8.859639e-05 3.209759e-04 -0.1295 3.357995e-03 2.636822e-03 8.846610e-03
0.1500 4.957424e-03 1.969196e-04 2.491631e-04 3.581190e-04 0.3331 7.263129e-03 4.586452e-03 9.874304e-03
0.2000 5.686727e-03 3.987696e-04 1.864824e-04 1.254588e-04 0.6373 1.008015e-02 7.655771e-03 1.037968e-02
0.2500 6.092034e-03 6.298971e-04 1.069526e-04 3.544039e-04 0.9529 1.005272e-02 9.954876e-03 1.140587e-02
0.3000 6.722704e-03 3.699947e-04 1.428342e-04 2.570234e-04 1.1978 8.876453e-03 1.270249e-02 1.274894e-02
0.3500 6.695748e-03 5.353670e-04 1.423374e-04 1.476209e-04 1.4211 9.549638e-03 1.747720e-02 1.317490e-02
0.4000 6.613987e-03 2.826891e-04 3.748190e-04 3.739699e-04 1.5477 1.034110e-02 2.209439e-02 1.403528e-02
0.4500 6.727717e-03 5.713740e-04 1.688981e-04 3.352780e-04 1.7370 1.073864e-02 2.632366e-02 1.527287e-02
0.5000 6.684024e-03 8.524335e-04 7.038521e-04 1.310621e-04 1.7208 1.122312e-02 2.993994e-02 1.763270e-02
0.5500 8.531767e-03 5.417192e-04 1.138371e-04 1.766596e-04 1.8472 9.268578e-03 3.255547e-02 2.059591e-02
0.6000 9.031939e-03 1.019425e-03 6.528451e-04 3.945784e-04 1.9586 7.439387e-03 3.349550e-02 2.264202e-02
0.6500 8.171422e-03 8.129829e-05 1.650699e-04 2.233520e-04 2.2512 3.059642e-03 3.165129e-02 2.315736e-02
0.7000 7.853424e-03 4.638899e-04 2.841520e-04 2.676313e-04 2.3972 3.551716e-03 2.872379e-02 2.466240e-02
0.7500 6.858768e-03 4.789408e-04 3.119461e-04 8.756100e-04 2.6378 9.144514e-03 2.747214e-02 2.804514e-02
0.8000 5.966637e-03 9.769658e-04 2.857176e-04 1.180354e-03 2.8074 9.958195e-03 2.463783e-02 3.273584e-02
0.8500 6.257172e-03 1.662903e-03 1.092972e-04 7.385431e-04 2.9578 8.697990e-03 2.442689e-02 3.703550e-02
0.9000 6.057145e-03 1.582681e-03 4.458280e-04 8.448366e-04 2.9630 6.724210e-03 2.323892e-02 4.045286e-02
0.9500 6.715029e-03 1.603067e-03 3.006362e-04 5.246219e-04 2.7138 3.004334e-03 2.125686e-02 4.592800e-02
1.0000 7.880240e-03 1.779541e-03 2.693136e-04 1.057312e-03 2.5666 2.151433e-03 1.978830e-02 4.964857e-02
1.0500 1.078834e-02 1.450369e-03 3.306608e-04 7.347784e-04 2.8036 8.768499e-03 1.793176e-02 5.198802e-02
1.1000 1.364921e-02 7.601745e-04 6.114728e-04 8.909824e-04 2.9764 1.664593e-02 1.746593e-02 5.632160e-02
1.1500 1.632577e-02 1.848681e-03 2.713830e-04 2.708399e-04 3.0850 2.161590e-02 1.581554e-02 5.844174e-02
1.2000 1.685839e-02 1.629983e-03 3.260397e-04 4.225455e-04 -3.0433 2.577334e-02 1.138367e-02 5.728430e-02
1.2500 1.804712e-02 1.648701e-03 6.671485e-04 2.979683e-04 -2.9175 2.869701e-02 8.501724e-03 5.729267e-02
1.3000 1.822258e-02 1.197629e-03 6.745048e-04 1.768954e-04 -2.8072 3.114119e-02 5.048781e-03 5.582546e-02
1.3500 1.867707e-02 1.200561e-03 5.483980e-04 3.839142e-04 -2.7209 3.100551e-02 7.154286e-03 5.360102e-02
1.4000 1.864221e-02 1.354155e-03 4.050337e-04 1.505420e-04 -2.7257 2.895016e-02 1.458753e-02 5.079885e-02
1.4500 1.992707e-02 1.531708e-03 7.196749e-04 9.289178e-04 -2.7544 2.629841e-02 2.172554e-02 4.814085e-02
1.5000 2.016850e-02 1.808783e-03 1.002643e-03 2.229201e-04 -2.6961 2.518508e-02 2.833738e-02 4.606342e-02
1.5500 1.856992e-02 1.313986e-03 1.429070e-03 5.183893e-04 -2.5690 2.764720e-02 3.222169e-02 4.295228e-02
1.6000 2.059398e-02 1.434520e-03 5.897608e-04 5.161852e-04 -2.5202 3.097152e-02 3.703440e-02 4.081388e-02
1.6500 2.257649e-02 6.749760e-04 1.232948e-03 3.271271e-04 -2.1725 3.820098e-02 4.361538e-02 3.967705e-02
1.7000 2.591445e-02 7.125585e-04 6.326311e-04 4.897581e-04 -1.9473 4.631843e-02 5.115235e-02 3.859543e-02
1.7500 2.807882e-02 5.880707e-04 5.178371e-04 5.446284e-04 -1.7424 5.599221e-02 5.736524e-02 3.704344e-02
1.8000 2.923770e-02 2.392960e-04 3.546497e-04 4.780271e-04 -1.5692 5.911551e-02 6.399280e-02 3.554416e-02
1.8500 2.960909e-02 1.057707e-04 2.444013e-04 5.640766e-04 -1.4091 5.942169e-02 7.145289e-02 3.374714e-02
1.9000 2.886353e-02 4.027470e-04 3.975949e-04 2.007768e-04 -1.2912 5.600265e-02 7.846914e-02 3.326218e-02
1.9500 2.794164e-02 1.759337e-03 1.099472e-03 1.037934e-03 -1.2444 5.131181e-02 8.358471e-02 3.445197e-02
2.0000 2.398986e-02 2.955977e-03 8.669789e-04 6.143285e-04 -0.9931 5.053375e-02 8.740168e-02 3.451426e-02
2.0500 2.157458e-02 2.410905e-03 4.713863e-04 2.545381e-04 -0.7528 5.089068e-02 9.009972e-02 3.608085e-02
2.1000 1.782392e-02 1.736432e-03 7.953267e-04 6.259822e-04 -0.4716 5.209565e-02 9.208289e-02 3.857044e-02
2.1500 1.457377e-02 1.417705e-03 1.178856e-03 4.522901e-04 -0.1439 5.115086e-02 9.298395e-02 3.959417e-02
2.2000 1.302888e-02 9.245824e-04 7.485955e-04 6.880519e-04 0.3165 4.644722e-02 9.449203e-02 4.194374e-02
2.2500 1.251222e-02 6.007512e-05 3.930989e-04 1.034535e-03 0.7995 4.443133e-02 9.588821e-02 4.461852e-02
2.3000 1.264508e-02 1.161451e-03 7.953141e-04 7.511182e-04 1.2070 3.992392e-02 9.677802e-02 4.816276e-02
2.3500 1.315579e-02 7.349933e-04 5.924765e-04 8.750399e-04 1.5531 3.591843e-02 9.715130e-02 5.051300e-02
2.4000 1.391641e-02 4.088037e-04 2.201007e-04 1.252358e-03 1.8139 2.957990e-02 9.738003e-02 5.307671e-02
2.4500 1.448889e-02 2.929885e-04 4.649950e-04 9.663766e-04 1.9639 2.192933e-02 9.849471e-02 5.631687e-02
2.5000 1.696916e-02 1.083062e-03 2.845161e-03 2.363945e-03 1.8426 1.498855e-02 1.001986e-01 6.191807e-02
2.5500 1.282990e-02 8.452484e-04 2.558080e-03 3.235389e-03 2.1862 1.273363e-02 9.608830e-02 6.823034e-02
2.6000 1.120186e-02 1.009878e-03 1.172182e-03 5.095042e-04 2.4565 1.591768e-02 8.998162e-02 7.519276e-02
2.6500 9.893013e-03 1.567449e-03 6.827648e-04 1.633421e-03 2.6814 2.333008e-02 8.416818e-02 8.167559e-02
2.7000 6.806043e-03 2.678632e-03 4.328276e-04 1.467708e-03 -2.8360 3.406359e-02 7.682329e-02 8.883631e-02
2.7500 7.296071e-03 2.459058e-03 9.218452e-04 1.047576e-03 -1.9099 3.678979e-02 6.967865e-02 9.348360e-02
2.8000 1.026643e-02 2.391701e-03 8.004627e-04 6.804247e-04 -1.5570 3.744947e-02 6.742189e-02 9.546744e-02
2.8500 1.184099e-02 1.893234e-03 1.564368e-03 8.940170e-04 -1.3260 3.795746e-02 6.813906e-02 9.650664e-02
2.9000 1.339706e-02 1.635399e-03 1.097118e-03 9.424675e-04 -1.0838 3.954312e-02 7.119845e-02 9.670258e-02
2.9500 1.936928e-02 8.882993e-04 5.355998e-04 5.406323e-04 -0.7493 4.349346e-02 7.763363e-02 9.528414e-02
3.0000 2.390630e-02 3.005776e-03 2.375566e-04 5.338822e-04 -0.6600 4.852919e-02 8.926206e-02 9.205425e-02
3.0500 2.561055e-02 1.551114e-03 5.390420e-04 4.668656e-04 -0.4939 5.392165e-02 9.732907e-02 8.627156e-02
3.1000 2.726585e-02 1.531496e-03 4.421331e-04 3.912045e-04 -0.3718 5.513605e-02 1.072768e-01 7.598610e-02
3.1500 2.985182e-02 8.330726e-04 1.092999e-04 4.351984e-04 -0.3034 5.390328e-02 1.171881e-01 6.620828e-02
3.2000 3.200152e-02 1.471511e-03 4.327370e-04 9.803993e-04 -0.2527 5.197990e-02 1.233906e-01 5.207018e-02
3.2500 3.498366e-02 1.726496e-03 2.279805e-03 1.196480e-03 -0.2140 5.045605e-02 1.305888e-01 3.774546e-02
3.3000 3.994726e-02 1.615979e-03 1.067718e-03 7.448743e-04 -0.1702 5.080795e-02 1.397517e-01 2.862824e-02
3.3500 4.312241e-02 2.287167e-03 6.963351e-04 7.830425e-04 -0.1372 4.996263e-02 1.463808e-01 2.873805e-02
3.4000 4.693610e-02 2.213711e-03 8.078421e-04 3.469787e-04 -0.1041 5.137953e-02 1.523560e-01 3.787526e-02
3.4500 5.096486e-02 2.868181e-03 5.762217e-04 9.059846e-04 -0.0346 5.372460e-02 1.566620e-01 5.274964e-02
3.5000 5.582028e-02 3.186972e-03 6.832029e-04 3.836133e-04 0.0034 5.667797e-02 1.609909e-01 6.836410e-02
3.5500 6.005910e-02 3.890629e-03 8.588102e-04 5.596594e-04 0.0642 5.933221e-02 1.674959e-01 8.094346e-02
3.6000 6.366521e-02 4.708779e-03 1.243432e-03 1.907049e-04 0.1234 6.395417e-02 1.699398e-01 9.572797e-02
3.6500 6.703401e-02 4.922541e-03 5.139944e-04 2.111064e-03 0.1936 6.860658e-02 1.732090e-01 1.098957e-01
3.7000 6.774252e-02 5.151531e-03 2.810249e-03 1.170837e-03 0.2381 7.171522e-02 1.737762e-01 1.223303e-01
3.7500 7.005952e-02 5.046613e-03 5.366514e-04 3.803849e-04 0.2894 7.473793e-02 1.756141e-01 1.320791e-01
3.8000 7.052971e-02 5.885061e-03 1.924454e-03 9.042387e-04 0.3771 8.062963e-02 1.757738e-01 1.411545e-01
3.8500 7.271781e-02 6.023594e-03 6.017001e-04 7.703860e-04 0.4520 8.802972e-02 1.757532e-01 1.503727e-01
3.9000 7.425258e-02 5.531672e-03 1.220294e-03 8.757710e-04 0.5050 9.210229e-02 1.735677e-01 1.583552e-01
3.9500 7.414511e-02 4.631040e-03 1.812992e-03 5.296789e-04 0.5552 9.346668e-02 1.705945e-01 1.661240e-01
4.0000 7.412795e-02 4.635062e-03 1.828049e-03 9.438739e-04 0.5896 9.539222e-02 1.655098e-01 1.725358e-01
