# t  |c1| |c2| |c3| |c4|  phase1  |c1|(30-70AU) |c1|(70-120) |c1|(120-180)
0.0008 2.136284e-05 2.436682e-07 1.163670e-08 9.206397e-08 -1.4199 3.167939e-03 9.075172e-04 5.020593e-03
0.0500 1.318610e-03 1.332618e-04 1.991381e-05 6.438231e-05 -0.6951 2.497163e-03 8.399895e-04 4.995654e-03
0.1000 2.070290e-03 1.242207e-04 2.648073e-05 3.534431e-04 -0.1279 1.981398e-03 1.218634e-03 5.208782e-03
0.1500 2.406766e-03 2.184330e-04 1.798346e-04 2.902864e-04 0.3261 3.737093e-03 1.968586e-03 5.485859e-03
0.2000 2.641276e-03 5.475781e-04 1.449056e-04 1.790639e-04 0.6708 5.385533e-03 3.103108e-03 4.953964e-03
0.2500 3.071035e-03 5.937409e-04 1.223383e-04 2.299927e-04 1.1396 5.851878e-03 5.718411e-03 4.152136e-03
0.3000 3.670791e-03 5.710429e-04 2.044892e-04 1.838186e-04 1.5298 6.472661e-03 7.510688e-03 5.014571e-03
0.3500 5.350361e-03 3.869957e-04 7.575364e-05 3.963622e-04 1.9078 7.643553e-03 1.149833e-02 7.335888e-03
0.4000 6.016455e-03 2.241062e-04 2.634498e-04 1.153587e-04 2.1635 8.193607e-03 1.583183e-02 9.018853e-03
0.4500 6.632964e-03 2.557159e-04 2.639043e-04 4.170107e-04 2.3600 1.023207e-02 2.115455e-02 9.901187e-03
0.5000 1.005289e-02 7.594760e-04 5.342473e-04 1.933273e-04 2.6289 1.134271e-02 2.834565e-02 1.290052e-02
0.5500 1.375284e-02 4.860162e-04 6.048417e-05 1.633622e-04 2.9274 1.610766e-02 3.470314e-02 1.610549e-02
0.6000 1.632461e-02 4.208370e-04 7.818960e-04 2.701203e-04 -3.1327 2.084068e-02 3.851133e-02 1.824303e-02
0.6500 1.714025e-02 3.521761e-04 6.987489e-04 1.981158e-04 -2.9496 2.635501e-02 4.006286e-02 2.070821e-02
0.7000 1.794744e-02 9.260192e-04 4.960306e-04 5.671390e-04 -2.7629 3.083487e-02 4.029047e-02 2.399837e-02
0.7500 1.764113e-02 9.834366e-04 2.628549e-04 1.033691e-03 -2.5017 3.314713e-02 4.053037e-02 2.711620e-02
0.8000 1.772101e-02 1.268667e-03 3.315439e-04 1.089113e-03 -2.3503 3.336361e-02 4.211601e-02 3.247623e-02
0.8500 1.670164e-02 1.440705e-03 1.977751e-04 9.471151e-04 -2.2460 3.279133e-02 4.101757e-02 3.952333e-02
0.9000 1.678155e-02 1.734744e-03 2.639240e-04 7.233449e-04 -2.2273 3.068635e-02 4.088563e-02 4.617852e-02
0.9500 1.889549e-02 1.713271e-03 2.927923e-04 8.518982e-04 -2.1923 2.839889e-02 4.355202e-02 5.325328e-02
1.0000 2.190229e-02 1.498027e-03 5.728525e-04 9.148605e-04 -2.2165 2.596799e-02 4.614824e-02 6.216774e-02
1.0500 2.324652e-02 1.130555e-03 2.178876e-04 6.975100e-04 -2.0900 2.850230e-02 4.980887e-02 6.731336e-02
1.1000 2.618892e-02 6.887914e-04 5.063608e-04 3.781321e-04 -2.0486 3.163667e-02 5.144902e-02 7.312901e-02
1.1500 2.685109e-02 1.382241e-03 3.333169e-04 4.195927e-04 -1.8419 3.645760e-02 5.336785e-02 7.752464e-02
1.2000 2.942803e-02 1.889108e-03 1.486034e-04 5.748255e-04 -1.7902 3.779655e-02 5.527488e-02 8.213750e-02
1.2500 3.244835e-02 2.132555e-03 5.803047e-04 5.656411e-04 -1.6607 4.168148e-02 5.659304e-02 8.466384e-02
1.3000 3.438337e-02 1.984151e-03 6.933821e-04 2.940128e-04 -1.5248 4.811760e-02 5.910817e-02 8.520156e-02
1.3500 3.702745e-02 1.991753e-03 1.026486e-03 1.233930e-04 -1.3830 5.668405e-02 6.374471e-02 8.575049e-02
1.4000 3.716086e-02 2.460878e-03 1.012207e-03 2.737635e-04 -1.2646 6.217523e-02 6.849492e-02 8.456469e-02
1.4500 3.696047e-02 2.353000e-03 9.769775e-04 1.395335e-04 -1.1684 6.188233e-02 7.302072e-02 8.577497e-02
1.5000 3.628479e-02 2.688551e-03 6.546894e-04 3.670016e-04 -1.1411 5.450681e-02 7.807106e-02 8.621658e-02
1.5500 3.517522e-02 2.018254e-03 4.439600e-04 2.754078e-04 -1.1426 4.544814e-02 8.273325e-02 8.678248e-02
1.6000 3.515597e-02 1.642719e-03 5.020923e-04 2.347048e-04 -1.1796 3.797518e-02 8.396512e-02 8.739082e-02
1.6500 3.561856e-02 1.394795e-03 4.425310e-04 1.198045e-04 -1.2322 3.241297e-02 8.376536e-02 8.675628e-02
1.7000 3.767169e-02 5.563910e-04 1.014315e-03 1.121987e-03 -1.2534 3.195690e-02 8.227090e-02 8.606225e-02
1.7500 3.906432e-02 1.025199e-04 3.099940e-04 7.004555e-04 -1.2376 3.488108e-02 7.920949e-02 8.335304e-02
1.8000 4.027878e-02 1.966582e-04 4.219467e-04 8.257730e-04 -1.2351 3.821555e-02 7.442998e-02 8.175600e-02
1.8500 4.142383e-02 2.266024e-04 4.230298e-04 1.234942e-03 -1.1884 4.272673e-02 6.926634e-02 8.019439e-02
1.9000 4.100967e-02 4.347936e-04 2.831401e-04 7.994450e-04 -1.1515 4.525116e-02 6.187390e-02 8.089829e-02
1.9500 4.134714e-02 5.012985e-04 4.299597e-04 7.295638e-04 -1.1246 4.801896e-02 5.554715e-02 7.991871e-02
2.0000 4.004313e-02 4.872755e-04 1.777111e-04 7.431340e-04 -1.1469 4.747807e-02 4.879377e-02 7.867956e-02
2.0500 3.860095e-02 2.393271e-03 1.743838e-03 1.617032e-03 -1.1630 4.630874e-02 4.477607e-02 8.075277e-02
2.1000 3.935174e-02 1.821847e-03 1.737509e-03 2.594537e-03 -1.1813 4.475176e-02 4.311078e-02 8.300585e-02
2.1500 3.735979e-02 2.150414e-03 1.504080e-03 6.746487e-04 -1.2513 4.171836e-02 4.172178e-02 8.138261e-02
2.2000 3.704287e-02 2.927247e-03 3.787879e-04 4.227146e-04 -1.2242 4.004383e-02 4.160759e-02 8.210587e-02
2.2500 3.678342e-02 8.624664e-04 1.892556e-04 9.056612e-04 -1.2153 3.759675e-02 3.991831e-02 8.291904e-02
2.3000 3.560321e-02 7.488009e-04 1.863278e-04 9.490465e-04 -1.1740 3.877144e-02 3.811375e-02 8.183277e-02
2.3500 3.470801e-02 6.221041e-04 2.190548e-04 1.178955e-03 -1.1300 4.058582e-02 3.818428e-02 8.026122e-02
2.4000 3.424075e-02 5.009945e-04 7.361492e-04 9.477446e-04 -1.0958 4.076401e-02 3.896588e-02 7.838173e-02
2.4500 3.405016e-02 9.603159e-04 6.947271e-04 5.085742e-04 -1.0779 3.941114e-02 4.071526e-02 7.584390e-02
2.5000 3.558568e-02 1.237792e-03 1.993832e-04 1.712467e-03 -1.0081 4.111481e-02 4.445929e-02 7.259558e-02
2.5500 2.671216e-02 2.542279e-03 1.126298e-03 1.163662e-03 -1.0745 4.341957e-02 4.405398e-02 6.627552e-02
2.6000 3.121771e-02 1.435948e-03 6.617500e-04 1.460657e-03 -0.9228 4.442895e-02 4.831483e-02 6.467017e-02
2.6500 3.381218e-02 1.419302e-03 6.641849e-04 1.017801e-03 -0.9422 3.652885e-02 5.120788e-02 6.260616e-02
2.7000 3.718330e-02 9.330918e-04 5.422904e-04 4.336227e-04 -0.9556 3.173724e-02 5.349706e-02 6.187735e-02
2.7500 3.936949e-02 1.054968e-03 9.463759e-04 8.857389e-04 -0.9381 3.814602e-02 5.575584e-02 6.199917e-02
2.8000 4.205058e-02 8.644250e-04 1.303230e-03 1.024296e-03 -0.8962 4.679833e-02 5.814658e-02 6.339694e-02
2.8500 4.469668e-02 1.328853e-03 1.250100e-03 7.653400e-04 -0.8576 5.381504e-02 6.242063e-02 6.402422e-02
2.9000 4.700347e-02 1.253736e-03 1.070776e-03 5.738047e-04 -0.7993 5.751898e-02 6.754804e-02 6.429695e-02
2.9500 4.904127e-02 1.569444e-03 1.052436e-03 1.229457e-03 -0.7569 6.136879e-02 7.567521e-02 6.454232e-02
3.0000 5.241404e-02 1.118955e-03 6.793786e-04 1.065887e-03 -0.7011 6.569992e-02 8.607653e-02 6.716497e-02
3.0500 5.511457e-02 5.183804e-04 5.669153e-04 7.280926e-04 -0.6496 7.017810e-02 9.700466e-02 7.035732e-02
3.1000 5.745447e-02 1.986753e-03 1.052391e-03 3.116373e-04 -0.5619 7.641154e-02 1.102625e-01 7.386141e-02
3.1500 6.140889e-02 9.739436e-04 7.067927e-04 5.522207e-04 -0.5398 8.102893e-02 1.238740e-01 7.791276e-02
3.2000 6.224245e-02 1.390249e-03 3.442322e-05 6.206438e-04 -0.4880 8.161125e-02 1.317224e-01 8.174718e-02
3.2500 6.437921e-02 1.349083e-03 4.060799e-04 5.491289e-04 -0.4279 8.263298e-02 1.392273e-01 8.758376e-02
3.3000 6.678821e-02 9.959610e-04 1.607846e-04 4.802156e-04 -0.3808 8.256194e-02 1.475026e-01 9.334470e-02
3.3500 6.820443e-02 1.227024e-03 3.177721e-04 6.386373e-04 -0.3431 8.127839e-02 1.550789e-01 9.989635e-02
3.4000 7.045383e-02 6.782064e-04 2.586885e-04 1.120349e-03 -0.3104 8.136702e-02 1.625819e-01 1.072335e-01
3.4500 7.249405e-02 8.334236e-04 5.988566e-04 9.498101e-04 -0.2770 8.296565e-02 1.675781e-01 1.171417e-01
3.5000 7.647113e-02 4.435100e-03 1.026157e-03 2.221266e-03 -0.2481 8.756134e-02 1.720788e-01 1.291926e-01
3.5500 8.029225e-02 3.095230e-03 1.289250e-03 8.507703e-04 -0.1426 9.790662e-02 1.775702e-01 1.389607e-01
