# t  |c1| |c2| |c3| |c4|  phase1  |c1|(30-70AU) |c1|(70-120) |c1|(120-180)
0.0008 5.465691e-10 2.315546e-08 5.529523e-09 1.088815e-07 0.7978 7.943614e-10 5.725060e-10 7.673145e-10
0.0500 4.890294e-07 1.389395e-04 3.841272e-06 7.095717e-05 1.6624 1.149048e-06 3.365487e-07 2.096736e-07
0.1000 2.368209e-06 1.219688e-04 9.332318e-06 3.361873e-04 2.4224 1.504733e-05 1.166994e-05 7.747185e-07
0.1500 5.468680e-06 2.341928e-04 7.116730e-06 3.993730e-04 3.1089 1.755370e-05 4.214635e-05 1.099343e-06
0.2000 8.992279e-06 4.039377e-04 5.858220e-06 3.818053e-04 -2.6300 3.176726e-05 1.173581e-04 1.121300e-06
0.2500 4.781805e-05 5.535962e-04 1.416291e-05 2.432308e-04 -1.0821 4.730495e-05 1.122350e-04 1.837915e-04
0.3000 9.812631e-05 3.117103e-04 5.982361e-05 2.809924e-04 -1.4259 2.018181e-04 1.031468e-04 9.983998e-05
0.3500 2.891931e-04 5.862595e-04 2.451563e-05 3.829938e-04 -0.7138 5.236504e-04 3.338300e-04 2.527514e-04
0.4000 4.271847e-04 5.425615e-04 1.574892e-04 6.635677e-05 0.6714 6.191782e-04 1.326525e-04 9.115414e-05
0.4500 4.241452e-04 4.417027e-04 2.001415e-04 2.156750e-04 -1.6432 1.364393e-04 8.100189e-04 9.304589e-04
0.5000 1.421196e-03 8.654454e-04 9.082361e-05 3.176936e-05 -1.4014 1.201829e-03 2.476082e-03 1.717615e-03
0.5500 3.005497e-03 2.473687e-04 1.483773e-04 2.284462e-04 -2.0610 4.269702e-03 4.260027e-03 2.991798e-03
0.6000 3.861967e-03 2.443286e-04 1.139995e-04 4.744416e-04 -2.1482 4.605785e-03 6.251472e-03 4.791812e-03
0.6500 4.946837e-03 1.876928e-04 3.917239e-05 3.737670e-04 -2.0759 6.371251e-03 6.519124e-03 6.752901e-03
0.7000 6.210387e-03 8.919427e-04 7.679556e-04 3.670998e-04 -2.0567 8.143589e-03 8.514762e-03 7.274949e-03
0.7500 6.741136e-03 9.136284e-04 6.326968e-04 5.121341e-04 -2.1993 7.975669e-03 9.253795e-03 1.019423e-02
0.8000 8.300273e-03 2.263504e-04 4.019600e-04 9.791014e-04 -1.8922 1.139240e-02 1.037356e-02 1.257798e-02
0.8500 1.028085e-02 1.656558e-03 3.033288e-04 8.792758e-04 -2.0306 1.382792e-02 1.145964e-02 1.633581e-02
0.9000 1.191327e-02 1.107288e-03 3.057310e-04 6.090896e-04 -2.0952 1.705673e-02 1.274417e-02 2.097951e-02
0.9500 1.469925e-02 9.469397e-04 9.711906e-05 7.855439e-04 -2.0677 2.193020e-02 1.420684e-02 2.627381e-02
1.0000 1.922940e-02 7.663013e-04 1.673913e-03 5.108510e-04 -1.9639 2.951484e-02 1.762850e-02 3.212693e-02
1.0500 2.344506e-02 8.734978e-04 4.492245e-04 6.344082e-04 -1.7466 3.946819e-02 2.166170e-02 3.689404e-02
1.1000 2.663405e-02 8.286362e-04 3.576081e-04 8.361988e-04 -1.5571 4.897494e-02 2.575965e-02 4.028782e-02
1.1500 2.754583e-02 2.142002e-03 2.060794e-04 9.311268e-04 -1.3695 5.229954e-02 2.966068e-02 4.292195e-02
1.2000 2.925324e-02 1.929632e-03 2.183574e-04 6.703155e-04 -1.2877 4.994661e-02 3.643285e-02 4.641688e-02
1.2500 2.930154e-02 2.229837e-03 3.419543e-04 8.168091e-04 -1.2737 4.236838e-02 4.290272e-02 4.818827e-02
1.3000 2.929366e-02 2.412458e-03 2.157999e-04 6.401749e-04 -1.3010 3.460141e-02 5.198664e-02 4.982112e-02
1.3500 2.993823e-02 2.560758e-03 5.684905e-04 2.388294e-04 -1.3055 3.255785e-02 5.778157e-02 5.036070e-02
1.4000 2.823281e-02 2.477474e-03 3.536596e-04 7.872628e-04 -1.2605 3.226445e-02 6.255318e-02 4.949664e-02
1.4500 2.799106e-02 1.427548e-03 3.268195e-04 3.251838e-04 -1.1887 3.246789e-02 6.770465e-02 4.887775e-02
1.5000 2.692232e-02 1.091841e-03 1.087343e-03 3.841680e-04 -1.1139 3.142626e-02 7.029527e-02 4.663208e-02
1.5500 2.602697e-02 1.116916e-03 5.031887e-04 6.743906e-04 -1.0016 2.865942e-02 7.107879e-02 4.723231e-02
1.6000 2.522805e-02 6.730353e-04 6.851708e-04 2.341307e-04 -0.9161 2.802958e-02 7.025305e-02 4.652120e-02
1.6500 2.356094e-02 8.265128e-04 3.639491e-04 2.431334e-04 -0.8132 2.916722e-02 6.676168e-02 4.642067e-02
1.7000 2.143177e-02 6.155438e-04 1.157098e-04 3.519327e-04 -0.7020 3.081463e-02 6.383185e-02 4.421880e-02
1.7500 1.959434e-02 5.505552e-04 3.124285e-04 7.000060e-04 -0.6209 3.196548e-02 6.311830e-02 4.288127e-02
1.8000 1.667935e-02 4.935819e-04 1.398028e-04 1.097048e-03 -0.5219 3.043897e-02 6.240229e-02 4.225831e-02
1.8500 1.430175e-02 9.033334e-04 1.244926e-04 9.526411e-04 -0.4549 2.794873e-02 6.162846e-02 4.239339e-02
1.9000 1.210457e-02 9.666447e-04 1.592435e-03 1.217538e-03 -0.5174 2.204576e-02 5.948944e-02 4.242827e-02
1.9500 1.084773e-02 6.942239e-04 2.890190e-04 1.070695e-03 -0.6510 1.505094e-02 5.653709e-02 4.458635e-02
2.0000 1.079559e-02 5.370810e-04 2.008377e-04 1.020898e-03 -0.6996 1.138590e-02 5.316755e-02 4.705295e-02
2.0500 1.114752e-02 5.138547e-04 2.436305e-04 1.080681e-03 -0.6703 1.339063e-02 4.988874e-02 4.956032e-02
2.1000 1.193542e-02 2.853942e-04 5.797368e-04 1.444911e-03 -0.6157 1.805159e-02 4.520937e-02 5.309503e-02
2.1500 1.134896e-02 1.317335e-03 1.788042e-03 8.274855e-04 -0.5963 2.134741e-02 3.834527e-02 5.588856e-02
2.2000 1.047374e-02 2.501544e-03 7.275751e-04 1.961159e-03 -0.3082 2.432816e-02 3.232363e-02 5.971917e-02
2.2500 1.081941e-02 1.281568e-03 6.766849e-04 7.263793e-04 -0.7181 2.221621e-02 2.074884e-02 6.096391e-02
2.3000 1.402335e-02 3.602075e-04 4.466417e-04 5.382215e-04 -0.8097 1.799721e-02 8.688008e-03 6.325142e-02
2.3500 1.809829e-02 1.046172e-03 6.543648e-04 1.107537e-03 -0.8324 1.708095e-02 5.340817e-03 6.271718e-02
2.4000 2.191423e-02 1.270629e-03 9.571826e-04 1.140451e-03 -0.7530 2.270868e-02 1.790441e-02 6.309481e-02
